roadblock,time,weather,infrastructure,type,volume,severity
full-roadwork,afternoon,heavy,bad,arterial,1000+,high
none,morning,heavy,average,collector,250-499,medium
minor-accident,afternoon,light-rain,good,highways,250-499,low
full-roadwork,morning,clear,good,freeway,500-749,low
full-blockage,early-morning,light-rain,average,collector,750-1000,medium
partial-roadwork,morning,clear,good,arterial,250-499,low
major-accident,early-morning,light-rain,bad,collector,0-249,medium
major-accident,morning,heavy,average,arterial,0-249,high
full-blockage,morning,snow/storm,average,freeway,500-749,high
major-accident,night,clear,good,highways,0-249,very-low
partial-roadwork,morning,foggy,average,freeway,0-249,low
major-accident,night,heavy,bad,freeway,0-249,medium
minor-accident,morning,foggy,good,collector,250-499,medium
full-roadwork,afternoon,clear,bad,highways,0-249,low
major-accident,afternoon,clear,average,arterial,500-749,medium
partial-roadwork,evening,foggy,good,arterial,250-499,medium
partial-roadwork,night,snow/storm,good,local,750-1000,high
minor-accident,morning,heavy,good,local,500-749,medium
full-blockage,evening,light-rain,average,freeway,250-499,medium
partial-blockage,early-morning,clear,average,highways,1000+,medium
none,night,light-rain,good,freeway,750-1000,low
major-accident,night,heavy,bad,highways,500-749,high
major-accident,early-morning,light-rain,good,arterial,500-749,medium
none,night,snow/storm,average,local,1000+,high
partial-blockage,morning,heavy,average,highways,750-1000,high
none,night,heavy,good,arterial,250-499,low
major-accident,night,heavy,bad,freeway,1000+,high
full-blockage,afternoon,clear,average,arterial,250-499,low
major-accident,night,heavy,average,freeway,1000+,high
minor-accident,evening,clear,bad,collector,750-1000,high
full-blockage,morning,light-rain,bad,highways,1000+,high
partial-roadwork,afternoon,snow/storm,bad,highways,0-249,medium
none,early-morning,clear,bad,collector,1000+,high
partial-blockage,evening,clear,good,collector,1000+,high
major-accident,night,snow/storm,good,local,1000+,very-high
major-accident,night,heavy,bad,collector,750-1000,very-high
partial-blockage,evening,foggy,average,collector,750-1000,high
full-roadwork,evening,foggy,bad,local,250-499,high
full-blockage,morning,clear,bad,freeway,500-749,high
partial-roadwork,evening,light-rain,average,freeway,0-249,low
full-blockage,early-morning,clear,average,arterial,1000+,high
partial-roadwork,afternoon,heavy,bad,freeway,0-249,medium
minor-accident,night,heavy,good,local,0-249,low
none,morning,light-rain,bad,arterial,250-499,medium
full-roadwork,evening,light-rain,good,highways,250-499,low
partial-roadwork,morning,foggy,average,local,500-749,high
partial-roadwork,early-morning,light-rain,average,highways,500-749,low
major-accident,night,foggy,average,local,750-1000,high
full-blockage,early-morning,light-rain,good,local,500-749,medium
full-roadwork,evening,clear,good,highways,1000+,high
partial-roadwork,afternoon,snow/storm,good,arterial,500-749,medium
major-accident,afternoon,foggy,average,local,750-1000,high
none,morning,heavy,good,arterial,500-749,medium
none,early-morning,light-rain,bad,highways,250-499,medium
minor-accident,morning,heavy,average,collector,0-249,medium
major-accident,afternoon,foggy,average,local,0-249,medium
partial-blockage,evening,snow/storm,good,freeway,500-749,medium
partial-blockage,evening,heavy,bad,freeway,0-249,low
partial-roadwork,evening,clear,good,freeway,750-1000,medium
none,afternoon,clear,good,highways,750-1000,low
full-roadwork,morning,light-rain,good,local,750-1000,high
none,evening,snow/storm,good,collector,500-749,medium
full-roadwork,night,light-rain,good,collector,250-499,medium
full-roadwork,evening,clear,average,local,500-749,medium
major-accident,evening,clear,bad,arterial,500-749,medium
minor-accident,evening,heavy,good,collector,250-499,medium
major-accident,morning,light-rain,good,freeway,0-249,low
partial-blockage,night,foggy,average,arterial,0-249,low
partial-blockage,afternoon,heavy,good,highways,250-499,medium
partial-blockage,afternoon,heavy,average,local,500-749,medium
minor-accident,afternoon,foggy,good,highways,500-749,medium
partial-blockage,morning,foggy,good,highways,500-749,medium
none,evening,clear,good,arterial,250-499,low
partial-blockage,night,snow/storm,average,collector,1000+,high
full-blockage,early-morning,snow/storm,average,local,750-1000,high
full-roadwork,morning,foggy,good,freeway,1000+,medium
major-accident,afternoon,snow/storm,good,collector,500-749,high
none,morning,snow/storm,good,arterial,0-249,very-low
full-blockage,afternoon,heavy,average,highways,0-249,medium
major-accident,night,heavy,bad,arterial,0-249,medium
partial-blockage,morning,light-rain,bad,highways,1000+,high
partial-roadwork,afternoon,heavy,average,highways,750-1000,high
partial-roadwork,afternoon,snow/storm,bad,local,0-249,medium
minor-accident,afternoon,clear,average,local,1000+,medium
full-roadwork,morning,foggy,good,collector,250-499,medium
major-accident,evening,snow/storm,good,highways,1000+,high
full-roadwork,early-morning,heavy,average,arterial,1000+,high
minor-accident,morning,clear,good,freeway,1000+,medium
full-roadwork,night,clear,good,arterial,250-499,medium
full-blockage,night,snow/storm,average,local,1000+,high
partial-blockage,early-morning,light-rain,bad,highways,1000+,high
none,early-morning,light-rain,average,freeway,1000+,low
none,afternoon,heavy,average,highways,250-499,medium
major-accident,early-morning,clear,good,highways,750-1000,medium
partial-blockage,night,heavy,bad,collector,0-249,medium
partial-roadwork,early-morning,light-rain,good,freeway,750-1000,low
full-roadwork,early-morning,clear,average,collector,1000+,high
full-blockage,morning,heavy,good,freeway,0-249,low
full-roadwork,evening,snow/storm,bad,highways,1000+,very-high
partial-roadwork,night,snow/storm,bad,collector,1000+,very-high
full-roadwork,afternoon,heavy,average,arterial,0-249,medium
full-blockage,morning,clear,average,arterial,750-1000,high
partial-blockage,early-morning,foggy,bad,collector,750-1000,high
partial-roadwork,morning,heavy,good,local,0-249,medium
major-accident,evening,clear,bad,highways,500-749,high
minor-accident,afternoon,light-rain,good,collector,500-749,medium
full-blockage,early-morning,light-rain,average,freeway,0-249,low
major-accident,afternoon,snow/storm,bad,arterial,500-749,high
none,afternoon,clear,average,collector,250-499,low
full-blockage,evening,clear,good,freeway,250-499,low
full-blockage,afternoon,foggy,average,collector,500-749,medium
major-accident,afternoon,foggy,bad,freeway,500-749,high
partial-roadwork,afternoon,light-rain,bad,arterial,500-749,high
full-roadwork,evening,foggy,bad,freeway,250-499,medium
partial-blockage,morning,foggy,bad,collector,1000+,very-high
minor-accident,afternoon,heavy,average,highways,1000+,high
partial-blockage,afternoon,foggy,bad,freeway,500-749,medium
major-accident,morning,foggy,good,highways,250-499,medium
major-accident,night,clear,good,highways,0-249,very-low
partial-blockage,morning,light-rain,bad,freeway,750-1000,high
full-blockage,early-morning,clear,bad,highways,1000+,high
minor-accident,early-morning,light-rain,bad,collector,500-749,medium
full-blockage,early-morning,light-rain,average,highways,250-499,low
none,evening,heavy,bad,freeway,500-749,medium
none,morning,snow/storm,good,highways,0-249,low
minor-accident,night,light-rain,bad,collector,500-749,high
minor-accident,early-morning,foggy,bad,highways,750-1000,high
major-accident,night,light-rain,bad,freeway,250-499,high
none,afternoon,snow/storm,good,local,1000+,high
minor-accident,morning,light-rain,good,collector,750-1000,medium
full-roadwork,morning,foggy,bad,collector,250-499,high
major-accident,evening,snow/storm,bad,arterial,750-1000,very-high
full-blockage,evening,foggy,bad,freeway,250-499,high
partial-blockage,afternoon,snow/storm,good,highways,0-249,medium
minor-accident,morning,light-rain,average,freeway,500-749,medium
partial-blockage,afternoon,heavy,good,local,750-1000,high
none,night,heavy,good,local,750-1000,medium
full-roadwork,evening,foggy,bad,collector,1000+,very-high
full-blockage,evening,light-rain,bad,arterial,750-1000,high
major-accident,night,snow/storm,average,collector,1000+,very-high
none,evening,snow/storm,good,highways,500-749,medium
full-blockage,morning,clear,average,freeway,750-1000,medium
none,afternoon,snow/storm,bad,local,250-499,high
partial-blockage,early-morning,snow/storm,good,local,750-1000,high
full-blockage,early-morning,heavy,good,highways,500-749,medium
partial-blockage,morning,heavy,good,freeway,1000+,high
none,afternoon,light-rain,good,arterial,0-249,low
partial-roadwork,morning,foggy,bad,collector,1000+,very-high
major-accident,night,heavy,average,collector,0-249,medium
partial-roadwork,afternoon,heavy,good,local,500-749,medium
none,evening,heavy,good,arterial,0-249,low
full-blockage,morning,light-rain,good,collector,500-749,high
partial-blockage,night,foggy,average,collector,1000+,high
major-accident,morning,snow/storm,average,freeway,1000+,high
partial-roadwork,evening,heavy,average,arterial,250-499,medium
none,early-morning,light-rain,average,freeway,750-1000,medium
minor-accident,afternoon,foggy,good,collector,1000+,high
major-accident,night,heavy,good,collector,500-749,medium
none,night,light-rain,good,collector,0-249,very-low
minor-accident,evening,clear,bad,local,500-749,high
partial-blockage,evening,snow/storm,average,local,250-499,high
full-blockage,evening,heavy,good,highways,1000+,very-high
full-roadwork,afternoon,light-rain,average,freeway,500-749,medium
minor-accident,evening,heavy,bad,collector,250-499,high
partial-blockage,evening,heavy,good,arterial,250-499,low
major-accident,evening,light-rain,good,highways,0-249,low
major-accident,night,clear,bad,local,750-1000,high
full-roadwork,evening,foggy,average,arterial,0-249,low
full-blockage,morning,foggy,average,freeway,250-499,medium
full-blockage,afternoon,foggy,bad,freeway,500-749,high
none,early-morning,snow/storm,good,highways,250-499,low
minor-accident,morning,foggy,average,highways,0-249,low
full-blockage,morning,clear,average,collector,500-749,high
none,morning,snow/storm,bad,highways,1000+,high
partial-roadwork,afternoon,heavy,bad,local,750-1000,high
major-accident,early-morning,clear,bad,highways,500-749,medium
partial-roadwork,night,heavy,average,arterial,500-749,medium
major-accident,early-morning,foggy,good,highways,750-1000,medium
partial-blockage,afternoon,snow/storm,bad,freeway,250-499,medium
minor-accident,early-morning,heavy,good,collector,0-249,medium
major-accident,afternoon,light-rain,average,freeway,500-749,low
full-blockage,afternoon,light-rain,average,arterial,750-1000,medium
none,evening,heavy,average,collector,250-499,medium
none,afternoon,heavy,good,highways,1000+,medium
major-accident,night,snow/storm,bad,freeway,250-499,medium
none,night,light-rain,bad,collector,250-499,medium
partial-roadwork,evening,light-rain,bad,arterial,0-249,medium
full-roadwork,night,clear,average,local,250-499,medium
full-roadwork,morning,heavy,good,collector,500-749,medium
minor-accident,afternoon,light-rain,good,highways,500-749,low
partial-roadwork,afternoon,heavy,bad,highways,0-249,medium
full-roadwork,early-morning,snow/storm,average,highways,250-499,high
full-blockage,evening,foggy,average,arterial,0-249,low
major-accident,afternoon,light-rain,average,arterial,500-749,medium
major-accident,afternoon,snow/storm,good,collector,1000+,high
none,evening,foggy,bad,freeway,0-249,low
partial-blockage,afternoon,clear,good,arterial,500-749,low
full-roadwork,evening,foggy,bad,arterial,750-1000,high
major-accident,early-morning,snow/storm,good,highways,750-1000,high
none,afternoon,clear,bad,freeway,500-749,low
partial-roadwork,afternoon,heavy,average,freeway,500-749,medium
full-roadwork,morning,heavy,average,freeway,1000+,high
full-blockage,afternoon,foggy,good,local,1000+,high
none,night,light-rain,average,local,500-749,medium
minor-accident,morning,light-rain,bad,highways,0-249,medium
partial-blockage,afternoon,snow/storm,average,highways,1000+,high
partial-roadwork,morning,foggy,good,highways,0-249,low
major-accident,afternoon,foggy,bad,highways,750-1000,high
none,early-morning,foggy,good,freeway,1000+,very-low
full-blockage,night,clear,bad,local,500-749,medium
full-roadwork,morning,light-rain,bad,collector,0-249,high
full-blockage,afternoon,clear,good,collector,750-1000,medium
partial-blockage,evening,heavy,average,freeway,500-749,medium
partial-blockage,night,foggy,bad,local,500-749,medium
partial-blockage,evening,clear,good,arterial,0-249,low
minor-accident,night,foggy,average,highways,250-499,medium
partial-roadwork,morning,snow/storm,average,freeway,1000+,very-high
major-accident,night,clear,bad,freeway,1000+,medium
full-roadwork,afternoon,clear,good,local,750-1000,medium
partial-roadwork,evening,clear,bad,freeway,0-249,low
minor-accident,afternoon,heavy,good,freeway,0-249,very-low
none,morning,snow/storm,average,arterial,1000+,high
partial-roadwork,night,snow/storm,good,collector,250-499,medium
minor-accident,morning,snow/storm,average,collector,1000+,very-high
partial-blockage,early-morning,foggy,good,collector,250-499,medium
minor-accident,evening,heavy,average,arterial,1000+,high
none,evening,snow/storm,bad,highways,250-499,medium
none,afternoon,heavy,good,local,1000+,medium
minor-accident,early-morning,light-rain,bad,local,750-1000,medium
partial-blockage,morning,snow/storm,good,arterial,500-749,high
major-accident,afternoon,clear,average,local,0-249,low
full-blockage,morning,heavy,average,collector,0-249,medium
full-blockage,morning,snow/storm,good,freeway,750-1000,high
full-roadwork,early-morning,light-rain,average,local,250-499,medium
partial-blockage,night,foggy,average,collector,750-1000,medium
major-accident,early-morning,snow/storm,bad,arterial,500-749,high
minor-accident,evening,heavy,average,collector,250-499,medium
partial-roadwork,evening,light-rain,good,freeway,750-1000,medium
partial-roadwork,night,clear,average,highways,0-249,very-low
partial-roadwork,morning,clear,average,collector,0-249,low
minor-accident,evening,heavy,average,highways,750-1000,high
none,evening,heavy,good,local,250-499,medium
minor-accident,afternoon,snow/storm,good,local,500-749,high
major-accident,afternoon,heavy,good,collector,500-749,high
major-accident,evening,foggy,average,highways,500-749,high
partial-blockage,early-morning,foggy,average,highways,0-249,very-low
full-blockage,early-morning,light-rain,bad,freeway,0-249,low
full-blockage,evening,clear,bad,collector,500-749,high
major-accident,night,snow/storm,average,local,1000+,very-high
full-blockage,evening,clear,good,highways,250-499,medium
major-accident,afternoon,foggy,bad,local,250-499,high
full-roadwork,afternoon,foggy,bad,local,750-1000,high
none,night,snow/storm,average,collector,250-499,high
partial-blockage,night,snow/storm,good,highways,250-499,medium
none,afternoon,snow/storm,average,local,250-499,medium
full-blockage,early-morning,snow/storm,average,collector,0-249,medium
major-accident,morning,heavy,good,collector,750-1000,very-high
minor-accident,morning,clear,good,freeway,750-1000,low
partial-roadwork,morning,light-rain,bad,collector,0-249,medium
full-blockage,evening,snow/storm,good,freeway,0-249,medium
full-blockage,early-morning,clear,average,collector,0-249,low
none,early-morning,clear,bad,highways,250-499,medium
major-accident,early-morning,foggy,bad,collector,0-249,high
full-blockage,night,snow/storm,average,highways,500-749,high
major-accident,early-morning,heavy,average,arterial,500-749,high
major-accident,afternoon,heavy,bad,freeway,750-1000,high
full-blockage,morning,foggy,average,freeway,500-749,medium
partial-roadwork,morning,light-rain,good,freeway,0-249,low
minor-accident,morning,clear,average,local,750-1000,high
full-blockage,afternoon,foggy,average,local,250-499,low
major-accident,afternoon,snow/storm,average,collector,250-499,high
partial-roadwork,morning,clear,average,collector,500-749,medium
partial-roadwork,early-morning,light-rain,average,highways,0-249,low
minor-accident,evening,heavy,good,collector,1000+,high
partial-blockage,evening,foggy,bad,arterial,0-249,medium
none,night,heavy,bad,arterial,500-749,high
major-accident,evening,heavy,average,freeway,0-249,low
major-accident,evening,snow/storm,average,highways,500-749,high
full-roadwork,evening,foggy,good,collector,500-749,medium
partial-roadwork,night,foggy,average,freeway,250-499,low
full-roadwork,night,clear,bad,freeway,0-249,low
full-blockage,morning,light-rain,good,highways,0-249,low
major-accident,evening,heavy,bad,arterial,250-499,high
partial-roadwork,night,snow/storm,average,collector,500-749,high
partial-roadwork,early-morning,heavy,bad,freeway,250-499,medium
major-accident,morning,clear,average,freeway,1000+,medium
minor-accident,afternoon,foggy,good,arterial,0-249,low
minor-accident,evening,foggy,bad,collector,750-1000,very-high
major-accident,morning,foggy,good,local,250-499,medium
full-blockage,night,snow/storm,good,arterial,250-499,medium
major-accident,early-morning,light-rain,average,highways,500-749,high
full-blockage,early-morning,clear,average,collector,250-499,medium
partial-roadwork,night,heavy,good,highways,0-249,low
partial-roadwork,early-morning,foggy,bad,arterial,1000+,high
partial-roadwork,early-morning,foggy,average,freeway,500-749,medium
full-blockage,early-morning,light-rain,average,local,750-1000,high
full-roadwork,morning,foggy,good,collector,750-1000,high
partial-blockage,evening,clear,bad,collector,500-749,medium
none,evening,heavy,bad,collector,0-249,medium
partial-blockage,afternoon,clear,good,arterial,250-499,low
major-accident,morning,heavy,good,arterial,500-749,high
minor-accident,afternoon,heavy,average,freeway,750-1000,medium
minor-accident,morning,heavy,bad,highways,750-1000,high
partial-blockage,night,foggy,bad,local,500-749,high
none,morning,foggy,bad,collector,1000+,high
partial-blockage,morning,snow/storm,average,local,750-1000,high
none,early-morning,foggy,good,collector,500-749,low
partial-roadwork,night,clear,average,freeway,500-749,low
none,evening,snow/storm,good,freeway,750-1000,medium
minor-accident,night,light-rain,average,highways,0-249,low
partial-blockage,night,snow/storm,good,arterial,1000+,high
major-accident,early-morning,clear,good,local,1000+,medium
full-roadwork,morning,clear,bad,freeway,750-1000,high
minor-accident,evening,snow/storm,good,collector,1000+,very-high
partial-roadwork,night,clear,average,collector,0-249,low
major-accident,morning,snow/storm,good,highways,250-499,high
none,evening,heavy,good,arterial,1000+,medium
full-roadwork,early-morning,foggy,good,highways,1000+,high
minor-accident,afternoon,heavy,average,freeway,500-749,medium
full-blockage,early-morning,clear,average,collector,1000+,high
partial-roadwork,early-morning,snow/storm,good,arterial,0-249,medium
minor-accident,morning,snow/storm,good,local,0-249,medium
partial-roadwork,night,heavy,average,collector,250-499,medium
major-accident,night,clear,good,freeway,500-749,low
full-roadwork,night,heavy,average,freeway,500-749,medium
full-roadwork,evening,clear,average,collector,250-499,medium
full-roadwork,morning,heavy,good,collector,750-1000,high
partial-roadwork,morning,clear,bad,highways,1000+,very-high
full-blockage,night,clear,good,local,250-499,medium
minor-accident,night,snow/storm,good,highways,500-749,medium
partial-blockage,evening,clear,bad,collector,750-1000,high
full-blockage,afternoon,heavy,bad,collector,1000+,very-high
partial-roadwork,evening,heavy,good,local,1000+,medium
full-roadwork,night,snow/storm,good,collector,0-249,medium
full-blockage,morning,clear,average,freeway,750-1000,medium
major-accident,early-morning,snow/storm,average,collector,0-249,medium
minor-accident,early-morning,clear,average,freeway,250-499,very-low
minor-accident,early-morning,foggy,good,collector,0-249,low
major-accident,morning,snow/storm,good,collector,750-1000,high
minor-accident,afternoon,light-rain,average,freeway,250-499,low
full-blockage,morning,snow/storm,good,arterial,750-1000,high
major-accident,afternoon,light-rain,good,local,750-1000,high
partial-roadwork,night,clear,bad,highways,250-499,low
full-roadwork,night,foggy,bad,collector,250-499,high
full-blockage,morning,light-rain,bad,arterial,500-749,high
partial-blockage,morning,snow/storm,bad,local,500-749,high
major-accident,morning,snow/storm,good,freeway,0-249,low
full-blockage,morning,snow/storm,good,collector,1000+,very-high
minor-accident,afternoon,heavy,average,freeway,250-499,low
partial-blockage,night,heavy,good,highways,1000+,medium
partial-roadwork,morning,clear,good,collector,250-499,medium
full-roadwork,morning,snow/storm,good,freeway,750-1000,high
major-accident,night,foggy,good,local,250-499,medium
partial-blockage,night,heavy,bad,local,250-499,medium
partial-roadwork,early-morning,foggy,good,arterial,250-499,very-low
partial-blockage,morning,snow/storm,bad,collector,500-749,very-high
major-accident,night,clear,bad,arterial,0-249,low
full-blockage,evening,foggy,good,freeway,250-499,low
none,early-morning,snow/storm,bad,highways,1000+,high
none,morning,snow/storm,bad,local,500-749,very-high
partial-blockage,evening,light-rain,good,arterial,500-749,medium
minor-accident,evening,foggy,good,highways,750-1000,high
none,early-morning,light-rain,average,local,1000+,high
major-accident,afternoon,snow/storm,good,freeway,500-749,medium
partial-blockage,morning,heavy,average,highways,750-1000,high
none,evening,light-rain,average,arterial,750-1000,medium
full-blockage,morning,clear,bad,freeway,0-249,medium
minor-accident,morning,snow/storm,average,freeway,500-749,high
partial-roadwork,morning,foggy,bad,local,1000+,high
full-blockage,morning,clear,bad,highways,1000+,high
major-accident,night,heavy,bad,local,500-749,high
none,morning,heavy,good,arterial,1000+,high
major-accident,afternoon,foggy,average,local,1000+,high
minor-accident,evening,clear,good,freeway,1000+,medium
full-blockage,early-morning,foggy,average,highways,0-249,low
major-accident,night,heavy,bad,local,500-749,very-high
full-blockage,morning,clear,good,freeway,250-499,very-low
none,night,heavy,bad,freeway,750-1000,medium
full-roadwork,afternoon,foggy,bad,collector,0-249,medium
none,night,clear,good,freeway,250-499,very-low
full-roadwork,night,light-rain,good,freeway,0-249,low
partial-blockage,morning,light-rain,bad,collector,0-249,medium
none,early-morning,heavy,average,arterial,500-749,low
partial-roadwork,early-morning,clear,average,arterial,1000+,low
partial-roadwork,evening,heavy,good,freeway,250-499,low
none,evening,foggy,good,highways,1000+,medium
partial-blockage,night,light-rain,good,highways,750-1000,medium
full-roadwork,evening,clear,average,highways,1000+,high
full-blockage,evening,heavy,average,freeway,1000+,high
none,afternoon,foggy,good,arterial,750-1000,medium
major-accident,morning,heavy,bad,collector,250-499,high
partial-roadwork,morning,foggy,average,highways,250-499,medium
partial-roadwork,early-morning,clear,bad,collector,0-249,low
major-accident,evening,heavy,good,freeway,750-1000,high
none,evening,snow/storm,good,freeway,250-499,medium
none,afternoon,light-rain,good,highways,250-499,very-low
full-roadwork,early-morning,foggy,bad,collector,0-249,medium
full-roadwork,afternoon,clear,good,freeway,0-249,very-low
partial-blockage,afternoon,light-rain,average,freeway,1000+,medium
full-roadwork,afternoon,light-rain,average,collector,250-499,medium
none,night,foggy,bad,local,500-749,medium
partial-roadwork,early-morning,clear,average,freeway,750-1000,low
minor-accident,night,snow/storm,bad,highways,0-249,medium
full-roadwork,early-morning,light-rain,bad,collector,1000+,high
partial-roadwork,afternoon,clear,good,arterial,0-249,very-low
partial-roadwork,afternoon,clear,good,freeway,750-1000,low
major-accident,early-morning,light-rain,good,arterial,750-1000,medium
none,evening,heavy,bad,freeway,250-499,medium
none,early-morning,heavy,good,freeway,250-499,very-low
partial-blockage,night,snow/storm,bad,freeway,1000+,high
full-roadwork,afternoon,heavy,bad,collector,250-499,high
full-blockage,morning,clear,good,freeway,750-1000,medium
full-blockage,early-morning,foggy,average,collector,0-249,medium
major-accident,afternoon,snow/storm,average,collector,250-499,high
full-blockage,morning,foggy,bad,collector,1000+,very-high
major-accident,night,foggy,good,local,0-249,low
minor-accident,evening,foggy,average,collector,0-249,low
full-blockage,evening,snow/storm,average,highways,750-1000,high
partial-roadwork,evening,foggy,good,arterial,750-1000,medium
partial-roadwork,morning,light-rain,good,highways,0-249,very-low
partial-blockage,early-morning,heavy,good,collector,500-749,medium
minor-accident,afternoon,light-rain,average,collector,0-249,medium
partial-blockage,afternoon,clear,bad,freeway,250-499,medium
none,morning,snow/storm,average,local,250-499,medium
minor-accident,morning,clear,good,highways,500-749,low
full-blockage,morning,clear,good,arterial,750-1000,medium
major-accident,early-morning,snow/storm,average,collector,250-499,medium
minor-accident,afternoon,light-rain,good,local,1000+,high
major-accident,evening,foggy,bad,local,1000+,high
major-accident,morning,light-rain,bad,highways,1000+,high
full-roadwork,morning,heavy,bad,highways,250-499,high
minor-accident,night,snow/storm,average,highways,1000+,high
full-roadwork,morning,clear,good,freeway,750-1000,medium
partial-blockage,afternoon,clear,bad,arterial,250-499,medium
partial-blockage,early-morning,snow/storm,bad,local,250-499,high
partial-blockage,evening,light-rain,average,arterial,500-749,medium
partial-roadwork,afternoon,foggy,bad,local,0-249,low
major-accident,early-morning,snow/storm,bad,freeway,0-249,medium
major-accident,night,snow/storm,average,freeway,0-249,medium
major-accident,early-morning,heavy,bad,collector,0-249,medium
none,evening,snow/storm,good,local,500-749,medium
minor-accident,night,foggy,bad,collector,500-749,medium
major-accident,night,snow/storm,good,freeway,0-249,low
full-roadwork,morning,snow/storm,good,freeway,1000+,high
minor-accident,early-morning,snow/storm,good,freeway,250-499,medium
full-blockage,early-morning,light-rain,bad,collector,500-749,high
partial-blockage,early-morning,light-rain,average,arterial,500-749,medium
major-accident,afternoon,light-rain,average,local,500-749,medium
major-accident,afternoon,snow/storm,good,local,500-749,high
major-accident,early-morning,heavy,average,arterial,500-749,medium
none,evening,clear,average,collector,500-749,medium
full-roadwork,early-morning,snow/storm,bad,highways,0-249,high
full-roadwork,morning,snow/storm,average,local,0-249,medium
full-roadwork,night,light-rain,bad,local,500-749,high
full-blockage,evening,heavy,bad,arterial,750-1000,high
partial-blockage,afternoon,foggy,good,local,500-749,medium
partial-blockage,afternoon,clear,bad,local,500-749,medium
none,morning,light-rain,bad,highways,750-1000,high
major-accident,morning,foggy,good,collector,250-499,medium
none,morning,heavy,bad,local,250-499,high
minor-accident,afternoon,clear,bad,arterial,1000+,high
minor-accident,morning,clear,bad,collector,750-1000,high
full-roadwork,night,snow/storm,average,arterial,750-1000,high
partial-roadwork,early-morning,heavy,good,arterial,750-1000,medium
partial-blockage,early-morning,snow/storm,bad,local,1000+,very-high
minor-accident,morning,heavy,good,arterial,0-249,low
partial-blockage,early-morning,snow/storm,good,highways,0-249,low
major-accident,morning,clear,good,freeway,750-1000,low
major-accident,morning,clear,bad,local,500-749,high
partial-roadwork,night,light-rain,bad,local,750-1000,medium
